Height,Timestamp,Timestamp (s),Difficulty,Size (KB),N. Txs on Block,N. Txs Total,N. Segwit,N. BIP69,N. Replace by Fee,Solver Reward,Tx Total,Tx Min,Tx Max,Tx Avg,Locktime Min,Locktime Max,Locktime Avg,N. Inputs Avg,N. Outputs Avg,Version,Nonce,Bits,Solver,N. Coinbase,Hash,Prev. Hash,Merkle Root
581300,2019-06-18 16:44:54,1560876294.0,7409399249090.253,1246.803,2425,9392,961,1497,150,13.07032067,320920.00948026,5.46e-06,40292.94793358,34.16950697191866,0,588666305,368835.9228865979,2.404123711340206,2.772783505154639,536870912,2306840862,388365571,1Hi8WYJ92EA84n4wY5ekSaFm52moj5xMix,1,000000000000000000192a837639e062be2d95acd4f67026c911094cfc37fde4,0000000000000000001ba63ba5e3572dff04635a3683220d79ba76df1bbe6131,b3200cb072640d6dde7e7205e373a51ebfabce45b07272adde251c96d16ae6aa
581301,2019-06-18 16:47:30,1560876450.0,7409399249090.253,1143.138,2134,9426,545,1516,259,12.74868504,155592.68473345,5.46e-06,38692.94599277,16.506756284049438,0,541541900,353710.5768509841,2.5173383317713216,3.0871602624179943,536870912,3503615104,388365571,,1,0000000000000000001e33f5cff45905b76d932791510b7f966e55b9a7a8b25d,000000000000000000192a837639e062be2d95acd4f67026c911094cfc37fde4,2dcae14ce923bf13a315fef2ec33ee2c5951c01bea187b508db44eb4efd9b454
581302,2019-06-18 16:47:59,1560876479.0,7409399249090.253,1270.348,2043,7849,140,1776,49,12.53830335,788.36466466,5.46e-06,182.0706172,0.10044141478659703,0,581301,23036.493392070486,3.016152716593245,1.881057268722467,549453824,3302834739,388365571,1Nh7uHdvY6fNwtQtM1G5EZAFPLC33B59rB,1,00000000000000000015d1b21c01b557a45b4e1826b356f330dcc8805618442f,0000000000000000001e33f5cff45905b76d932791510b7f966e55b9a7a8b25d,84a6514032210d39bf0fb23dab4279a1ab7e49494bb80ac78e1eda0d3e833b80
581303,2019-06-18 16:58:00,1560877080.0,7409399249090.253,1607.062,2002,8667,1028,1031,136,13.39614443,8339.39200397,5.46e-06,906.89160729,0.9622005312068767,0,3066618993,1664471.456043956,3.0314685314685317,2.584915084915085,541065216,538242721,388365571,1Hi8WYJ92EA84n4wY5ekSaFm52moj5xMix,1,0000000000000000001c7f80ada4901fa98c4891d562ca6fbcbb28572c30fada,00000000000000000015d1b21c01b557a45b4e1826b356f330dcc8805618442f,b9726b814895fd07a8ce2773d999a6d91465989b2956cfba93918a2a69bb5fb7
581304,2019-06-18 17:02:55,1560877375.0,7409399249090.253,1670.699,1768,8741,737,1022,154,13.25044289,41765.42916742,5.46e-06,37892.94509485,4.778106528706098,0,581304,160447.29185520363,3.5254524886877827,2.733031674208145,541065216,1776445152,388365571,,1,00000000000000000014eb817df63f383bb714bc019734bce58faee75fec6c09,0000000000000000001c7f80ada4901fa98c4891d562ca6fbcbb28572c30fada,41b776c9723ea62ee71ae5d9e13da4fe0f80a7ee78f07e069e3bfcb107bd0bcd
581305,2019-06-18 17:03:34,1560877414.0,7409399249090.253,1082.608,2858,7283,118,2346,34,12.58642269,884.09066139,5.46e-06,238.08778641,0.1213910011519978,0,581304,11796.634359692092,1.8743876836948916,1.8481455563331,536870912,2617859458,388365571,1Nh7uHdvY6fNwtQtM1G5EZAFPLC33B59rB,1,00000000000000000004e634958722779fa24d3499ed0272eb3bddca5254d3c0,00000000000000000014eb817df63f383bb714bc019734bce58faee75fec6c09,e5e778afc2a78fc9881d4152ee47cb96d6a5465cc6c9fd9c10ce59ece6b62990
581306,2019-06-18 17:44:14,1560879854.0,7409399249090.253,1122.066,2161,8818,881,1235,266,13.80726494,485952.03222204,5.46e-06,37692.94487037,55.10909868700839,0,581306,137725.71263304027,2.657103192966219,2.6469227209625172,536870912,2411509098,388365571,,1,0000000000000000001e1c089c039e02f94e42d709b466a7339e53b5f90d7423,00000000000000000004e634958722779fa24d3499ed0272eb3bddca5254d3c0,ba9134501c7f2922e8ce3b210b3c74e51056b4bf588636e30cdbeabdebba8804
581307,2019-06-18 17:44:34,1560879874.0,7409399249090.253,1517.913,1949,9964,1124,1038,119,13.36594283,6754.57608669,6.2e-05,1150.54367109,0.6778980416188277,0,581306,183424.07491021036,2.78450487429451,3.689071318624936,536870912,4172530974,388365571,1Nh7uHdvY6fNwtQtM1G5EZAFPLC33B59rB,1,0000000000000000002242d68bfb9afb9b84280bd5145def425609aac4361d68,0000000000000000001e1c089c039e02f94e42d709b466a7339e53b5f90d7423,45c1eaff8b5952fd1a30a98a5fccd12d1d0d6170850c5af225144a9aeee4e8ea
581308,2019-06-18 18:31:24,1560882684.0,7409399249090.253,1160.705,2580,9261,959,1561,280,13.77708763,13255.84570295,5.46e-06,316.19135134,1.4313622398175143,0,581308,123920.66240310078,2.106589147286822,2.722480620155039,536870912,3065619020,388365571,1CK6KHY6MHgYvmRQ4PAafKYDrg1ejbH1cE,1,0000000000000000001e1bae8c0e50b8023b3321362ed96eba4423e721d0804b,0000000000000000002242d68bfb9afb9b84280bd5145def425609aac4361d68,b96aa9b349a90031d0952ffbd112a2360983223057a078a72c9ec7b6101f6966
581309,2019-06-18 19:15:23,1560885323.0,7409399249090.253,1297.434,2896,9266,1382,1570,247,13.72588701,13054.46047448,5.46e-06,812.8844677,1.4088560840146773,0,551377464,524323.2482734807,1.8922651933701657,2.596339779005525,549453824,3990366436,388365571,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ,1,0000000000000000001e503e5cb8716ed3f3b5661bb927a129fb3e501879acbf,0000000000000000001e1bae8c0e50b8023b3321362ed96eba4423e721d0804b,44049704d1d31cee7e5c645db2f0b22e283deb0e0a58cff1fec721919e29ab8a
581310,2019-06-18 19:17:15,1560885435.0,7409399249090.253,1399.451,2378,11093,1719,1200,151,13.44592796,7286.63708427,5.46e-06,306.25231373,0.6568680324772379,0,581310,191404.47098402018,2.6160639192598825,3.2956265769554247,545259520,2677820429,388365571,,1,0000000000000000001c753b5fa641e7d150abc364b943acf5735d45c0c01114,0000000000000000001e503e5cb8716ed3f3b5661bb927a129fb3e501879acbf,aff49b98b517ff9a8e7e96b9347ced07dfe102fbe808b121d366ed096b5fe1a9
